name,latitude,longitude
Ahuntsic-Cartierville,45.5433419047486,-73.68041400603865
Anjou,45.6125070952504,-73.56541143427079
Cote-des-Neiges-Notre-Dame-de-Grace,45.485003125653556,-73.63179842080714
Lachine,45.44433021890172,-73.689733002395
LaSalle,45.428534906968224,-73.61379129458606
Plateau-Mont-Royal,45.52610966614349,-73.58069770579242
Sud-Ouest,45.47058148642857,-73.57823594269907
L'Ile Bizard-Sainte-Genevieve,45.49464287023353,-73.90163533142226
Mercier-Hochelaga-Maisonneuve,45.576102164502345,-73.53484615146067
Pierrefonds-Roxboro,45.48021216598399,-73.87469674067492
Riviere-des-Prairies-Pointe-Aux-Trembles,45.65844439498999,-73.53624413348152
Rosemont-La Petite-Patrie,45.55334432126396,-73.58042644673749
Saint-Laurent,45.49820613040227,-73.712828387106
Saint-Leonard,45.589339045778694,-73.59539737613265
Verdun,45.4523763322695,-73.55352333364537
Ville-Marie,45.50939418699063,-73.55551332557583
Villeray-Saint-Michel-Parc-Extension,45.55577970295468,-73.62032103032946
Baie-D'Urfe,45.418219,-73.913698
Beaconsfield,45.432189,-73.866219
Cote-Saint-Luc,45.468116,-73.666900
Dollard-des-Ormeaux,45.488381,-73.816808
Dorval,45.453324,-73.752113
Kirkland,45.450003,-73.869303
Montreal-Est,45.629683,-73.528687
Mont-Royal,45.509031,-73.656098
Pointe-Claire,45.456595,-73.809302
Sainte-Anne-de-Bellevue,45.426089,-73.929240
Westmount,45.484782,-73.598911
Laval,45.607304,-73.722569
Rive-Nord,45.644185,-73.732126
Rive-Sud,45.480450,-73.487854
Longueuil,45.533246,-73.508532
Outremont,45.515874,-73.608785
Montreal-Ouest,45.453277,-73.650636
Montreal-Nord,45.604387,-73.629334
Hampstead,45.480899,-73.645737
